"frequency_hz","input_real","input_imag","input_mag","input_phase_rad","output_real","output_imag","output_mag","output_phase_rad","h_real","h_imag","h_mag","h_phase_rad"
"87300","1490298.375","1687945","4397.849","0.848","257354.594","-646592.625","1359.231","-1.192","-0.139616775539158","-0.275734841898727","0.309067220922679","-2.03950651406212"
"87500","651722.75","-2117067.25","4326.388","-1.272","682061.688","137062.625","1358.783","0.198","0.0314557262854627","0.312489494871734","0.314068698092213","1.47047256088321"
"87700","-1630809.375","1527745.75","4364.501","2.389","-506494.719","-471521.656","1351.57","-2.392","0.0211535297606561","0.308950193022616","0.309673527428559","1.50243395996534"
"87900","-2140490.5","720318.188","4411.019","2.817","-250555.703","-639903.625","1342.203","-1.944","0.0147783603717741","0.303925080146166","0.304284166983975","1.52220958435648"
"88100","2035060.75","940028.625","4378.28","0.433","-244661.062","640313.562","1338.796","1.936","0.0206985758040082","0.305079987537227","0.305781343178469","1.50305375223506"
"88300","-1047991.375","1987978.625","4389.252","2.056","-639204.5","-316351.531","1392.978","-2.682","0.00811444005712286","0.317257252606114","0.317361006534546","1.54522505533245"
"88500","-1984709.625","-958426.188","4304.704","-2.692","244013.453","-634411.938","1327.581","-1.204","0.0254734467858991","0.307348496635507","0.308402326312984","1.48810401515087"
"88700","-2200007.25","437382.25","4380.984","2.945","-159115.141","-664875.688","1335.254","-1.806","0.0117761265816575","0.304556431230202","0.304784016905322","1.53214909489818"
"88900","1735731.25","1450317.625","4417.77","0.696","-420257.844","535895.625","1330.135","2.236","0.00933590259392708","0.300942672388219","0.301087447664971","1.53978407664402"
"89100","1683962.625","1508255.375","4415.343","0.73","-440106.688","517118.594","1326.265","2.276","0.00759675102009111","0.3002802710312","0.300376350261854","1.54550285382379"
"89300","2014161.75","1032372.812","4420.557","0.474","82453.328","-675089.312","1328.332","-1.449","-0.103631992463237","-0.282054040857228","0.300489720000188","-1.92290406669704"
"89500","-1099015.25","1970540.875","4406.826","2.08","665509.062","118725.789","1320.344","0.177","-0.0977143381325963","-0.28323163519692","0.299613502788197","-1.90300806014785"
"89700","-2113695","776991.562","4398.402","2.789","-239456.125","-634743.75","1325.018","-1.932","0.00255286884531423","0.301238971351923","0.301249788382508","1.56232196598322"
"89900","1478749.125","-1700401.25","4401.281","-0.855","-621974","-262513.344","1318.562","-2.742","-0.0932177198353671","-0.284714198109979","0.29958591071129","-1.88720467888241"
"90100","-2106094.75","803427.25","4402.61","2.777","423718.281","528374.5","1322.825","0.895","-0.0920819453322247","-0.286005956813158","0.300463794805259","-1.88227451048809"
"90300","-2066857.875","-912224.375","4412.53","-2.726","281815.5","-612114","1316.156","-1.139","-0.00471924291650546","0.298239668956426","0.298277004465553","1.58661866562486"
"90500","-1504870.5","-1683215.375","4409.847","-2.3","515344.688","-437608.406","1320.465","-0.704","-0.00763808802712212","0.299338018256624","0.299435451412342","1.5963073895304"
"90700","1250879.25","-1876793.375","4405.175","-0.983","554547.5","384166.906","1317.61","0.606","-0.00537245181144072","0.299056782685284","0.299105035913038","1.58875904921422"
